category_list, market , funding_total_usd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Monetization|Video|Advertising|, Video ,1230000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Services|Outsourcing|Consulting|, Outsourcing ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video on Demand|Incentives|Loyalty Programs|Video|Advertising|, Video ,3274546 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Apps|Monetization|Advertising Platforms|, Apps ,632000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Auctions|Algorithms|Search Marketing|Optimization|Semantic Search|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,3216500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|, Search ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Displays|Graphics|Advertising|, Advertising ,17807000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Services|, Business Services ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|Health Care|Hospitals|, Hospitals , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Security|, Security ,340000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet TV|Television|Advertising|, Television ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Optimization|Ad Targeting|Email|Advertising|, Advertising ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,89000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,6950000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3446554 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Brand Marketing|Wireless|, Brand Marketing ,10000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Services|Software|Advertising|, Software ,20000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,50000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,6150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,7458702 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,850000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|Advertising|, Advertising ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,75000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet Marketing|Video on Demand|Advertising|Video Streaming|, Internet Marketing ,1200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Displays|Search|Advertising|, Advertising ,1300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Technology|Software|Analytics|E-Commerce|, Technology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,350000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|Location Based Services|Ad Targeting|Mobile|, Location Based Services ,5700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sales and Marketing|SEO|Internet|Software|Enterprises|Machine Learning|Search|Social Media|Advertising|, Software ,8750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,550000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Outdoor Advertising|Advertising|, Outdoor Advertising ,3118000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|News|, News ,809425 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet Radio Market|Advertising|, Internet Radio Market ,2973600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Startups|Advertising|, Startups ,314000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Android|iOS|Mobile Advertising|Advertising|, iOS ,69522 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Customer Service|Reviews and Recommendations|Optimization|Machine Learning|Personalization|E-Commerce|, Machine Learning , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,5100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Mobile|, Mobile ,7200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Television|Mobile Analytics|Analytics|Mobile Advertising|, Mobile Advertising ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Time|Optimization|Advertising|, Real Time ,49167 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,1300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Optimization|Advertising|, Optimization ,706870 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,2300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Lighting|Clean Energy|Clean Technology|, Clean Energy ,25500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,91980947 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|Performance Marketing|Incentives|Sales and Marketing|Internet|Advertising|, Search ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical Devices|, Medical Devices , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11450000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,26000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,52750600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,19500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,480000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,1210000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,7746327 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,33500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,444000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,205250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1810275 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,836778 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,12300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,9850000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,18800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,57777000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|, Security ,1900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,2807000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical Devices|, Medical Devices ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,166000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,5200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,14200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Enterprise Software|, Enterprise Software ,1021575 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,1250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,10500500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,440000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,16211800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,36519878 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,167000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,5455180 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Hardware + Software|, Software ,82328527 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Intelligence|Technology|Advertising|Sales and Marketing|Software|, Advertising ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,210000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,525000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,7110000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|App Marketing|Mobile|, App Marketing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,10000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,757625 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|, Medical , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|Hardware + Software|, Analytics ,562336 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,13000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,2077950 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|, Search ,650000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,424999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,83606 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,798542 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1325000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Clean Technology|, Clean Technology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|Fitness|Health and Wellness|Medical Devices|Health Care|, Health Care ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|Manufacturing|, Analytics ,135952 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,6300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|Clean Technology|, Manufacturing ,335000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,22200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2152000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,24000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,50537423 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet Marketing|Enterprise Software|, Internet Marketing ,980000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,4475000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Networking|, Networking , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Solar|Clean Technology|, Solar , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,4560000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consulting|, Consulting ,2930000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,909150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,22500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel ,20000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Recipes|Education|Kids|Fitness|Health and Wellness|, Health and Wellness ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Outdoors|Adventure Travel|Travel|Curated Web|, Adventure Travel ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cars|Advertising|, Advertising ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,5530000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Lead Generation|Insurance|Legal|, Legal ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet Marketing|Social Media Marketing|Social Commerce|E-Commerce|Mobile|, Mobile ,395000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Law Enforcement|Legal|, Legal ,176988 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Incentives|Finance|, Incentives ,12989 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising Networks|Social Media Advertising|Online Video Advertising|Mobile Advertising|Advertising Platforms|, Advertising Platforms ,400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Stock Exchanges|Investment Management|Social Network Media|Finance|, Finance ,1313100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Legal|Wealth Management|Finance Technology|, Finance Technology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,103063800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Blogging Platforms|Advice|Consulting|, Advice ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Insurance Companies|Finance Technology|Financial Services|Social Media|, Social Media ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1440000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance Technology|Insurance|Trading|Consulting|Brokers|Finance|, Finance Technology ,736050 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Curated Web|, Mobile ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,18000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketing Automation|, Marketing Automation ,1200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Television|News|Media|Advertising|, Television ,269133 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Apps|Discounts|Incentives|Advertising|, Incentives ,17776000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,24997 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Development|Windows Phone 7|Media|Android|iPhone|Mobile|Advertising|, Advertising ,351681 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|SaaS|Advertising|, SaaS ,22800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|Sales and Marketing|Finance|Advertising|, Sales and Marketing ,2200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,16000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,125001 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,7540560 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising Exchanges|Advertising Platforms|Advertising Networks|Media|Video|Advertising|, Advertising Exchanges ,1908820 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,1400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|Social Media|Advertising|, Marketplaces ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Comparison Shopping|Internet|Marketplaces|, Comparison Shopping , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Media|Consumers|Advertising|, Media ,6400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Developer APIs|SaaS|Advertising Platforms|Advertising|, Advertising Platforms ,650000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,10250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Classifieds|Career Management|Employment|Search|, Classifieds ,2762201 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,6500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,19367098 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|Biotechnology|, Health Care ,19814760 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,21929020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1304000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Colleges|Software|, Software ,2725000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,12256689 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,4300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|Biotechnology|Therapeutics|, Therapeutics ,24000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,1158000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,7970000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Intelligence|Predictive Analytics|Big Data|Analytics|, Predictive Analytics ,503757 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,11755550 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,40000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Pharmaceuticals|, Pharmaceuticals ,4200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,14727601 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,97000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Networking|Games|, Games ,288000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,19500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,253614965 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Mobile|, Video ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,774998 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Gps|Smart Grid|Telecommunications|M2M|Internet of Things|, Internet of Things ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Defense|Augmented Reality|, Defense ,160000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,159000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Aerospace|Drones|Curated Web|, Aerospace ,542944 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,599918 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hospitality|Clean Technology|, Hospitality ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Computing|Storage|Enterprise Software|, Enterprise Software ,5500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7000341 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Technology|Mobile|, Technology ,104952382 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1349360 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,243000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consumers|E-Commerce|, Consumers ,150000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,45400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Wireless|RFID|Mobile|, Wireless ,28000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Big Data|Auctions|Databases|Real Time|Analytics|, Real Time ,22000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,2200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,120500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,63000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
